"Qty";"Value";"Device";"Package";"Parts";"Description";"PROD_ID";"VALUE";
"1";"";"JST_2MM_MALE";"JST-2-SMD";"J1";"Mates to single-cell LiPo batteries.";"CONN-08352";"";
"27";"";"M01PTH";"1X01";"1+, 1-, 2+, 2-, 3+, 3-, 3.3V, A2, A3, BTN, CHG+, CHG-, GND, GNDC, GNDE, GNDE1, GNDE2, LED+, OUT1, OUT2, RST, RX+, RX-, SW1, SW2, TX+, TX-";"Header 1";"";"";
"6";"0.1uF";"CAP0603-CAP";"0603-CAP";"C4, C5, C6, C11, C12, C13";"Capacitor";"";"";
"1";"1.0uF";"CAP0603-CAP";"0603-CAP";"C1";"Capacitor";"";"";
"1";"100k";"RESISTOR0603-RES";"0603-RES";"R15";"Resistor";"";"";
"5";"10k";"RESISTOR0603-RES";"0603-RES";"R1, R8, R12, R13, R14";"Resistor";"";"";
"1";"1206L016WR";"PTCSMD";"PTC-1206";"F2";"Resettable Fuse PTC";"RES-11150";"";
"1";"1206L050YR";"PTCSMD";"PTC-1206";"F1";"Resettable Fuse PTC";"RES-11150";"";
"1";"1M";"RESISTOR0603-RES";"0603-RES";"R16";"Resistor";"";"";
"2";"22";"RESISTOR0603-RES";"0603-RES";"R5, R6";"Resistor";"";"";
"2";"22pF";"CAP0603-CAP";"0603-CAP";"C2, C3";"Capacitor";"";"";
"3";"330";"RESISTOR0603-RES";"0603-RES";"R9, R10, R11";"Resistor";"";"";
"1";"330nF";"CAP0603-CAP";"0603-CAP";"C14";"Capacitor";"";"";
"1";"4.7uF";"CAP0603-CAP";"0603-CAP";"C7";"Capacitor";"";"";
"2";"4.7uF";"CAP1206";"1206";"C8, C10";"Capacitor";"";"";
"1";"470pF";"CAP0603-CAP";"0603-CAP";"C9";"Capacitor";"";"";
"1";"74CBTLV3253";"74CBTLV3253";"SSOP16-PRACTICE";"U1";"74CBT 2 x 4:1 multiplexer. 1OE and 2OE are output enable pins, and S0 and S1 determine which ouptut (xB4, xB3, ...) is connected to the xA";"";"";
"1";"8 MHz";"CRYSTAL5X3";"CRYSTAL-SMD-5X3";"Y1";"Various standard crystals. Proven footprints.";"XTAL-08218";"";
"1";"ATMEGA32U4TQFP-44";"ATMEGA32U4TQFP-44";"TQFP44";"U$1";"Atmel 44-pin 8-bit Microcontroller with 32KBytes of ISP Flash and USB Controller";"";"";
"1";"B340A";"DIODE-SCHOTTKY-B340A";"SMA-DIODE";"D1";"Schottky diodes in SFE's production catalog";"DIO-09886";"B340A";
"3";"BAT20JFILM";"BAT20JFILM";"SOD-323";"D2, D3, D4";"23V, 1A Schottky diode, SOD-323 package";"DIO-11623";"BAT20JFILM";
"1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"FRAME1";"Schematic Frame";"";"";
"1";"MCP73831";"MCP73831";"SOT23-5";"U3";"Miniature single cell, fully integrated Li-Ion, Li-polymer charge management controller";"IC-09995";"";
"1";"MIC5219 3.3V";"V_REG_MIC52193.3V";"SOT23-5";"U2";"V_REG MIC5219";"VREG-09872";"MIC5219 3.3V";
"1";"MMBT2222A";"TRANSISTOR_NPNMMBT2222A";"SOT23-3";"Q5";"Generic NPN BJT";"TRANS-08049";"MMBT2222A";
"1";"NTS2101PT1G";"MOSFET-PCHANNEL";"SOT23-3";"Q4";"Generic PMOSFET";"TRANS-08285";"";
"1";"USB";"USB";"USB-B-MICRO-SMD_V03";"JP4";"USB Connectors";"";"";
"3";"ZXTN08400BFFTA";"TRANSISTOR_NPNSOT23-3";"SOT23-3";"Q1, Q2, Q3";"Generic NPN BJT";"TRANS-08049";"";
