"Qty";"Value";"Device";"Package";"Parts";"Description";"Digikey part Number"
1;;"JST_2MM_MALE";"JST-2-SMD";"J1";"Mates to single-cell LiPo batteries.";"455-1749-1-ND"
6;"0.1uF";"CAP0603-CAP";"0603-CAP";"C4, C5, C6, C11, C12, C13";"Capacitor";"490-1532-1-ND"
1;"1.0uF";"CAP0603-CAP";"0603-CAP";"C1";"Capacitor";"1276-1946-1-ND"
1;"100k";"RESISTOR0603-RES";"0603-RES";"R15";"Resistor";"P100KGCT-ND"
4;"10k";"RESISTOR0603-RES";"0603-RES";"R1, R12, R13, R14";"Resistor";"P10KGCT-ND"
1;"1206L016WR";"PTCSMD";"PTC-1206";"F2";"Resettable Fuse PTC";"F3132CT-ND"
1;"1206L050YR";"PTCSMD";"PTC-1206";"F1";"Resettable Fuse PTC";"F2112CT-ND"
1;"1M";"RESISTOR0603-RES";"0603-RES";"R16";"Resistor";"P1.0MGCT-ND"
2;22;"RESISTOR0603-RES";"0603-RES";"R5, R6";"Resistor";"RHM22CGCT-ND"
2;"22pF";"CAP0603-CAP";"0603-CAP";"C2, C3";"Capacitor";"445-1273-1-ND"
3;330;"RESISTOR0603-RES";"0603-RES";"R9, R10, R11";"Resistor";"RHM330CFCT-ND"
1;"330nF";"CAP0603-CAP";"0603-CAP";"C14";"Capacitor";"445-5142-1-ND"
1;"4.7uF";"CAP0603-CAP";"0603-CAP";"C7";"Capacitor";"490-3297-1-ND"
2;"4.7uF";"CAP1206";"1206-CAP";"C8, C10";"Capacitor";"587-2254-1-ND"
1;"470pF";"CAP0603-CAP";"0603-CAP";"C9";"Capacitor";"1276-2302-1-ND"
1;"4.75k";"RESISTOR0603-RES";"0603-RES";"R8";"Resistor";"1276-4710-1-ND"
1;"TC7MBL3253";"TC7MBL3253";"TSSOP16";"U1";"2 x 4:1 multiplexer.";"TC7MBL3253CFT(EL)CT-ND"
1;"8 MHz";"CRYSTAL5X3";"CRYSTAL-SMD-5X3";"Y1";"Various standard crystals. Proven footprints.";"535-9720-1-ND"
1;"ATMEGA32U4TQFP-44";"ATMEGA32U4TQFP-44";"TQFP44";"U$1";"Atmel 44-pin 8-bit Microcontroller with 32KBytes of ISP Flash and USB Controller";"ATMEGA32U4-AU-ND"
1;"B340A";"DIODE-SCHOTTKY-B340A";"DO-214AC / SMA";"D1";"Schottky diode";"B340A-E3/61TGICT-ND"
3;"1N914";"1N914BWS";"SOD-323";"D2, D3, D4";"23V, 1A Schottky diode, SOD-323 package";"1N914BWSCT-ND"
1;"MCP73831";"MCP73831";"SOT23-5";"U3";"Miniature single cell, fully integrated Li-Ion, Li-polymer charge management controller";"MCP73831T-2ACI/OTCT-ND"
1;"MIC5219 3.3V";"MIC5219-3.3V";"SOT23-5";"U2";"V_REG MIC5219";"576-1281-1-ND"
1;"MMBT2222A";"TRANSISTOR_NPNMMBT2222A";"SOT23-3";"Q5";"Generic NPN BJT";"MMBT2222ATPMSCT-ND"
1;"NTS2101PT1G";"MOSFET-PCHANNEL";"SOT23-3";"Q4";"Generic PMOSFET";"NTS2101PT1GOSCT-ND"
1;"USB";"USB";"USB-B-MICRO-SMD_V03";"JP4";"USB Connectors";"732-3155-1-ND"
3;"ZXTN08400BFFTA";"TRANSISTOR_NPNSOT23-3";"SOT23-3";"Q1, Q2, Q3";"Generic NPN BJT";"ZXTN08400BFFCT-ND"
